原料类型,霉变情况,来源情况,预估等级,茶渣_储存时间,果渣_褐变情况,原料是否匹配,等级是否匹配,路线_推荐强度,路线_风险等级,路线_首选目标,路线_适用原料类,路线_适用等级,匹配得分,成本得分,技术得分,碳减排得分,市场得分
茶渣,轻度,基本可追溯,差,否,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.199847163902715,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,否,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.3422306717993955,5,5,5,8
豆制品/粮食发酵副产物,无,明确可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.920668854086216,8,8,8,5
中药残余废弃物,严重,基本可追溯,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.0,5,5,5,8
茶渣,轻度,明确可追溯,差,是,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.4202748103231855,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,良,,否,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,9.590839361932701,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,0,1,高,中高,食品支线,葡萄籽,优/良,4.542839093173699,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,优,,否,0,1,高,中,材料主线,茶渣,优/良,5.685552674013163,5,5,5,8
茶渣,无,明确可追溯,差,是,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.605536085026207,5,5,8,8
豆制品/粮食发酵副产物,无,来源不明,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,9.866679174760327,8,8,8,5
中药残余废弃物,严重,来源不明,优,,,0,1,中,高,食品支线,茶渣,优,0.11272739706873647,5,5,2,5
花生壳/板栗壳,无,来源不明,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.858029515208366,5,5,8,5
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,低,材料主线,茶渣,优/良/差,6.722808350450258,5,5,8,8
茶渣,无,基本可追溯,良,否,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.332989132967583,8,8,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.18143967660268057,5,5,5,8
花生壳/板栗壳,轻度,基本可追溯,差,,,1,1,高,低,材料主线,花生壳/板栗壳,优/良/差,10.910298011176073,5,5,8,8
茶渣,无,基本可追溯,差,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.260975739538903,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.8704489580652695,5,5,5,8
豆制品/粮食发酵副产物,无,明确可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.665210870227416,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,良,,否,0,1,高,中,材料主线,茶渣,优/良,5.730430811762601,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,明确可追溯,优,,否,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.22757562370044,5,5,5,5
豆制品/粮食发酵副产物,轻度,明确可追溯,良,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,8.000376691810992,5,5,5,5
中药残余废弃物,无,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.44521597582046,5,5,8,5
花生壳/板栗壳,无,明确可追溯,差,,,0,1,中,低,无害化兜底,茶渣,差,5.082030279990372,8,8,8,5
茶渣,严重,基本可追溯,差,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.07520278681205,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,明确可追溯,差,,是,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.919208991496924,5,5,8,8
茶渣,严重,基本可追溯,优,否,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.888681913733744,5,5,8,5
中药残余废弃物,轻度,基本可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.148094129709551,8,8,8,5
中药残余废弃物,严重,基本可追溯,优,,,0,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,2.0065128400895262,8,8,8,5
豆制品/粮食发酵副产物,轻度,来源不明,差,,,1,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,9.856109742482001,5,5,5,8
花生壳/板栗壳,无,明确可追溯,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,2.0789555707832617,5,5,5,8
茶渣,无,明确可追溯,差,是,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.2651982537707438,5,5,5,5
豆制品/粮食发酵副产物,轻度,基本可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,8.395730601405043,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,严重,明确可追溯,良,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.138428535720935,5,5,5,8
中药残余废弃物,轻度,来源不明,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.990624323784305,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,是,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.906093257588968,8,8,8,5
中药残余废弃物,无,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.578372609906766,5,5,8,5
中药残余废弃物,无,来源不明,差,,,0,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,1.966211448244039,5,5,5,8
茶渣,轻度,来源不明,良,是,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.760462533768883,5,5,5,8
茶渣,轻度,来源不明,差,是,,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.6193121033753606,5,5,5,8
茶渣,轻度,来源不明,优,否,,0,1,高,中,材料主线,花生壳/板栗壳,优/良,6.450468425364217,5,5,5,8
花生壳/板栗壳,无,来源不明,差,,,0,0,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,0.4445302894795179,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,差,,否,1,0,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.895024948653674,5,5,5,8
茶渣,轻度,基本可追溯,差,否,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.3885350389854985,5,5,8,8
中药残余废弃物,严重,来源不明,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,6.471435869502747,5,5,8,5
中药残余废弃物,无,基本可追溯,差,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.950876912147868,5,5,5,8
中药残余废弃物,严重,基本可追溯,差,,,0,1,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,5.111972713392404,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,良,,否,0,0,中,高,食品支线,茶渣,优,0.05554884134445692,5,5,2,5
中药残余废弃物,轻度,来源不明,良,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,5.138433464651216,5,5,5,8
豆制品/粮食发酵副产物,无,基本可追溯,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,5.260530708006968,5,5,5,8
茶渣,严重,明确可追溯,差,是,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.069379629121299,8,8,8,5
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.657781055648455,5,5,8,5
花生壳/板栗壳,无,明确可追溯,差,,,1,0,高,中,材料主线,花生壳/板栗壳,优/良,6.9673495223661766,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,3.230941673636969,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,无,来源不明,差,,否,0,0,高,中,材料主线,花生壳/板栗壳,优/良,2.9277346164910885,5,5,5,8
茶渣,严重,明确可追溯,优,否,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.0,5,5,5,8
中药残余废弃物,严重,基本可追溯,良,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,7.111661882453368,5,5,8,8
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,高,中,材料主线,茶渣,优/良,5.846069480618945,5,5,5,8
茶渣,轻度,明确可追溯,差,否,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.324027743778679,5,5,5,8
花生壳/板栗壳,严重,来源不明,优,,,0,1,中,高,食品支线,茶渣,优,0.02324911535814156,5,5,2,5
豆制品/粮食发酵副产物,轻度,基本可追溯,差,,,1,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,10.162548289819934,8,8,8,5
花生壳/板栗壳,严重,来源不明,良,,,0,1,高,中高,食品支线,葡萄籽,优/良,0.02237596145552223,5,5,5,8
花生壳/板栗壳,轻度,来源不明,优,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,10.011499864086028,5,5,5,8
茶渣,轻度,明确可追溯,差,否,,1,0,中,高,食品支线,茶渣,优,4.459239819971665,5,5,2,5
茶渣,无,明确可追溯,差,是,,1,0,中,高,食品支线,茶渣,优,3.5563180747729626,5,5,2,5
中药残余废弃物,严重,来源不明,差,,,1,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,8.988836146906575,5,5,5,8
茶渣,轻度,明确可追溯,优,否,,1,1,高,中,材料主线,茶渣,优/良,9.75394486351682,5,5,5,8
茶渣,轻度,来源不明,优,否,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.972097264068034,5,5,8,5
中药残余废弃物,无,明确可追溯,良,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,6.493377350258097,8,8,8,5
豆制品/粮食发酵副产物,严重,明确可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.579937520071088,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,差,,否,0,0,高,中,材料主线,茶渣,优/良,2.8824379701937892,5,5,5,8
茶渣,严重,来源不明,良,否,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.0,5,5,5,8
豆制品/粮食发酵副产物,无,基本可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,7.941890930894879,5,5,5,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,良,,是,1,0,中,低,无害化兜底,柑橘皮/葡萄皮/葡萄籽/猕猴桃副产物/脐橙副产物/水晶梨副产物/混合果渣,差,6.359307037130867,8,8,8,5
中药残余废弃物,轻度,基本可追溯,良,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,5.508164471995512,5,5,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,是,0,1,高,低,材料主线,茶渣,优/良/差,6.942078255569417,5,5,8,8
茶渣,轻度,明确可追溯,良,否,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,3.726608211981213,5,5,5,5
茶渣,轻度,基本可追溯,优,否,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.911022939038719,5,5,5,8
茶渣,严重,来源不明,差,否,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.964425748164622,5,5,8,8
中药残余废弃物,严重,基本可追溯,差,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.014312465457881,8,8,8,5
花生壳/板栗壳,严重,明确可追溯,优,,,0,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.1022530515067861,5,5,5,5
茶渣,严重,基本可追溯,优,否,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,0.1400959699249238,5,5,5,8
中药残余废弃物,轻度,明确可追溯,差,,,0,1,中高,低,农用利用/兜底去向,豆腐渣/客家黄酒酒糟,差（优/良也可）,5.753380483671215,8,8,8,5
花生壳/板栗壳,严重,基本可追溯,良,,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,4.6492100467411435,5,5,5,8
花生壳/板栗壳,无,明确可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.845193985319625,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,严重,来源不明,优,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.926766623313229,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,良,,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,5.483750730541328,8,8,8,5
花生壳/板栗壳,无,来源不明,差,,,1,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,8.960131871588892,8,8,8,5
豆制品/粮食发酵副产物,无,基本可追溯,优,,,1,1,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,8.239054985035144,5,5,5,5
茶渣,无,明确可追溯,差,否,,0,1,中,低,能源化利用,花生壳/板栗壳,差（优/良也可）,4.809027189849812,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.593917079176182,5,5,5,8
花生壳/板栗壳,轻度,来源不明,优,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.856080222560447,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,无,基本可追溯,良,,是,1,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,9.61508081997984,5,5,5,8
花生壳/板栗壳,无,基本可追溯,良,,,1,1,高,中,材料主线,花生壳/板栗壳,优/良,9.909888162310898,5,5,5,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,基本可追溯,优,,是,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.636519736509701,5,5,5,8
豆制品/粮食发酵副产物,无,来源不明,差,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.6917501124837155,5,5,8,5
中药残余废弃物,严重,明确可追溯,良,,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,0.22014381699645058,5,5,5,8
豆制品/粮食发酵副产物,严重,基本可追溯,差,,,1,0,中高,中高,食品支线,豆腐渣为主/客家黄酒酒糟为辅,优/良,0.47326431320676465,5,5,5,5
花生壳/板栗壳,轻度,明确可追溯,优,,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.4068844322839045,5,5,8,5
中药残余废弃物,轻度,来源不明,良,,,0,0,中,低,无害化兜底,茶渣,差,1.8990301731780597,8,8,8,5
果渣（柑橘/葡萄/猕猴桃等）,严重,基本可追溯,优,,否,0,1,高,中,材料主线,花生壳/板栗壳,优/良,5.548051164298474,5,5,5,8
中药残余废弃物,严重,来源不明,差,,,0,1,中,低,无害化兜底,茶渣,差,4.623542862436589,8,8,8,5
茶渣,轻度,明确可追溯,良,否,,0,1,高,低,前处理稳定化,豆腐渣/客家黄酒酒糟,优/良/差,6.792496056048603,5,5,8,8
果渣（柑橘/葡萄/猕猴桃等）,轻度,来源不明,差,,否,0,0,高,中高,食品支线,葡萄籽,优/良,2.28412010118233,5,5,5,8
中药残余废弃物,严重,基本可追溯,优,,,0,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,5.804852525902579,5,5,8,5
茶渣,无,基本可追溯,优,是,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,5.753408932218615,5,5,5,8
中药残余废弃物,严重,基本可追溯,良,,,1,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,6.9995124181526,5,5,5,5
中药残余废弃物,轻度,来源不明,差,,,0,0,高,中,材料主线,茶渣,优/良,3.1094896208048084,5,5,5,8
豆制品/粮食发酵副产物,轻度,来源不明,良,,,0,1,高,中,材料主线,茶渣,优/良,6.274377757177956,5,5,5,8
茶渣,轻度,明确可追溯,优,否,,0,1,高,中,食品支线,柑橘皮/脐橙副产物/猕猴桃副产物/水晶梨副产物,优/良,5.608001761327643,5,5,5,8
茶渣,严重,基本可追溯,优,是,,0,1,高,低到中,材料主线,五指毛桃残余/布惊根残余/黄板树根残余/其他根茎木质型中药残余,优/良/差,5.410147554282166,5,5,5,8
花生壳/板栗壳,轻度,明确可追溯,优,,,0,1,高,中,材料主线,豆腐渣/客家黄酒酒糟,良/差（优也可）,6.00812962215351,5,5,5,8
茶渣,轻度,来源不明,良,否,,0,1,中,中高,农用资源化,五指毛桃残余/布惊根残余/黄板树根残余/其他来源明确且安全性较可控的中药残余,优/良,2.6245235963747118,5,5,5,5
茶渣,轻度,来源不明,优,是,,0,1,中高,低,材料主线,柑橘皮/葡萄皮/猕猴桃副产物/脐橙副产物/水晶梨副产物/提取后残渣,优/良/差,6.075546739538675,5,5,8,5
花生壳/板栗壳,无,基本可追溯,优,,,0,1,高,中高,食品支线,葡萄皮/柑橘皮/脐橙副产物/猕猴桃副产物,优/良,4.5808614446411395,5,5,5,8
茶渣,轻度,基本可追溯,优,否,,1,1,高,低,材料主线,茶渣,优/良/差,10.911273168679742,5,5,8,8
花生壳/板栗壳,无,来源不明,优,,,1,1,中高,低,农用材料路线,花生壳/板栗壳,良/差（优也可）,10.107875823590764,5,5,8,5
中药残余废弃物,轻度,基本可追溯,优,,,0,1,高,低,材料主线,花生壳/板栗壳,优/良/差,6.705154145566326,5,5,8,8
茶渣,轻度,来源不明,差,否,,0,0,高,中高,食品支线,葡萄籽,优/良,1.7823827487339967,5,5,5,8
